3M AIRCONDITIONING,172 ShaniwarPeth; Trimbakeshwar Co-op Soc.,Pune,411 030,(020)233692,NA,NA,NA,NA,Room Air Conditioners
3M AIRCONDITIONING,172 ShaniwarPeth; Trimbakeshwar Co-op Soc.,Pune,411 030,(020)233692,NA,NA,NA,NA,Split Air Conditioning Units
3M AIRCONDITIONING,172 ShaniwarPeth; Trimbakeshwar Co-op Soc.,Pune,411 030,(020)233692,NA,NA,NA,NA,Flooded Chillers
A ONE SHEET FABRICATION,Kurla Ind. Premises Co-op Soc.; Gala 12B/21B; NSS Rd.; Ghatkapar(W),Mumbai,400 086,NA,NA,NA,NA,NA,Ceiling Diffusers; Linear Diffusers
A ONE SHEET FABRICATION,Kurla Ind. Premises Co-op Soc.; Gala 12B/21B; NSS Rd.; Ghatkapar(W),Mumbai,400 086,NA,NA,NA,NA,NA,Grilles; Dampers
A ONE SHEET FABRICATION,Kurla Ind. Premises Co-op Soc.; Gala 12B/21B; NSS Rd.; Ghatkapar(W),Mumbai,400 086,NA,NA,NA,NA,NA,Smoke; Fire Dampers
A1 ELECTRONICS,366; 2nd Cross; 5th Main; REMCO Layout; Vijayanagar,Bangalore,560 040,(080)3300612,(080)3303973,NA,NA,Rs. 25 lakhs,Temprature; Humidity Controls
A1 ELECTRONICS,366; 2nd Cross; 5th Main; REMCO Layout; Vijayanagar,Bangalore,560 040,(080)3300612,(080)3303973,NA,NA,Rs. 25 lakhs,Electronic Timers
A1 ELECTRONICS,366; 2nd Cross; 5th Main; REMCO Layout; Vijayanagar,Bangalore,560 040,(080)3300612,(080)3303973,NA,NA,Rs. 25 lakhs,Industrial Thermometers
AAA COOLERS,Behind Hennur Bunde; Hennur Main Road,Bangalore,560 043,(080)56995731; 9845281300,NA,NA,NA,Rs. 40 Lakhs,Ductable Splits Units
AAA COOLERS,Behind Hennur Bunde; Hennur Main Road,Bangalore,560 043,(080)56995731; 9845281300,NA,NA,NA,Rs. 40 Lakhs,Room Air Conditioners
AAA COOLERS,Behind Hennur Bunde; Hennur Main Road,Bangalore,560 043,(080)56995731; 9845281300,NA,NA,NA,Rs. 40 Lakhs,Split Air Conditioning Units
ABB LTD.,Khanija Bhavan; 2nd Floor; East Wing 49; Race Course Road,Bangalore,560 001,(080)22280599; 22250295,(080)22281103,vikram.v.kanth@in.abb.com,http://www.abb.com,NA,Electric Motors
ABB LTD.,Khanija Bhavan; 2nd Floor; East Wing 49; Race Course Road,Bangalore,560 001,(080)22280599; 22250295,(080)22281103,vikram.v.kanth@in.abb.com,http://www.abb.com,NA,Motor Control Centers
ABB LTD.,Khanija Bhavan; 2nd Floor; East Wing 49; Race Course Road,Bangalore,560 001,(080)22280599; 22250295,(080)22281103,vikram.v.kanth@in.abb.com,http://www.abb.com,NA,Variable Frequency Drives
ABC ENGINEERING,B-17 Nandkumar; Nanda Patkar Road; Vile Parle(E),Mumbai,400 057,(022)26108362,NA,sandip100200@yahoo.co.in,NA,Rs. 20 Lakhs,Electronic Timers
ABC ENGINEERING,B-17 Nandkumar; Nanda Patkar Road; Vile Parle(E),Mumbai,400 057,(022)26108362,NA,sandip100200@yahoo.co.in,NA,Rs. 20 Lakhs,Electronic Energy Saver
ABC TUBE INDUSTRIES LTD.,1 Mahesh Villa; Worli,Mumbai,400 018,(022)24938697; 24935508,(022)24937758,abcindia@vsnl.com,http://www.abctubes.com,NA,Insulation Materials
ABC TUBE INDUSTRIES LTD.,1 Mahesh Villa; Worli,Mumbai,400 018,(022)24938697; 24935508,(022)24937758,abcindia@vsnl.com,http://www.abctubes.com,NA,Copper Pipe
